loan_id,age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_id_outlier_flag,age_outlier_flag,education_outlier_flag,loan_amount_outlier_flag,asset_cost_outlier_flag,no_of_loans_outlier_flag,no_of_curr_loans_outlier_flag,loan_to_asset,loan_amount_log,proof_submitted,loan_default
71,37,1.0,968232,1215600,3,0,0,0,0,0,0,1,0,0,0.7965054294175715,13.783228039773858,Aadhar,1
72,41,2.0,258000,1082400,16,7,0,0,0,0,1,0,1,1,0.23835920177383593,12.460718739865236,Aadhar,1
73,47,2.0,1063920,1912404,0,0,0,0,0,0,1,1,0,0,0.5563259645974387,13.877471698006898,VoterID,0
74,47,2.0,790584,896592,0,0,0,0,0,0,0,0,0,0,0.8817656191444938,13.580528456732784,Aadhar,0
75,47,2.0,1385016,2058408,0,0,0,0,0,0,1,1,0,0,0.6728578590833304,14.141222971896477,Aadhar,1
76,49,1.0,648156,748452,4,2,0,0,0,0,0,0,0,0,0.8659954145356015,13.381888229939012,VoterID,1
77,32,2.0,636936,833244,2,2,0,0,0,0,0,0,0,0,0.7644051442314617,13.364426028564363,Aadhar,1
78,29,2.0,640800,815460,0,0,0,0,0,0,0,0,0,0,0.7858141417114267,13.370474235284382,Aadhar,1
79,36,2.0,455268,873984,0,0,0,0,0,0,0,0,0,0,0.5209111379613357,13.028643732029229,VoterID,0
80,31,1.0,266352,818808,2,2,0,0,0,0,1,0,0,0,0.3252923762347217,12.492577775656972,Aadhar,0
81,37,1.0,520728,666000,6,4,0,0,0,0,0,0,0,0,0.7818738738738739,13.162985031857852,Aadhar,1
82,40,2.0,649356,805284,4,0,0,0,0,0,0,0,0,0,0.8063689331962388,13.383737921490912,Aadhar,0
83,31,1.0,651108,790776,4,4,0,0,0,0,0,0,0,0,0.8233785547361073,13.3864323418909,Aadhar,0
84,29,2.0,1070256,1786476,0,0,0,0,0,0,1,1,0,0,0.599087813102443,13.883409364513717,Aadhar,0
85,41,1.0,685356,820812,3,2,0,0,0,0,0,0,0,0,0.8349731729068288,13.43769514936676,Aadhar,1
86,27,1.0,527028,813636,0,0,0,0,0,0,0,0,0,0,0.6477442001091397,13.175010854472488,Aadhar,1
87,35,1.0,695532,868104,8,3,0,0,0,0,0,0,1,0,0.801208150175555,13.452433737099243,Aadhar,0
88,38,1.0,780276,868608,8,7,0,0,0,0,0,0,1,1,0.8983062555260831,13.567404263827807,Aadhar,0
89,49,2.0,676956,817560,0,0,0,0,0,0,0,0,0,0,0.8280199618376632,13.425363034367615,Aadhar,1
90,32,2.0,568188,776400,0,0,0,0,0,0,0,0,0,0,0.731823802163833,13.25020938883433,Aadhar,1
91,46,2.0,696156,998880,0,0,0,0,0,0,0,0,0,0,0.6969365689572321,13.45333048859105,PAN,1
92,43,,722556,997620,2,2,0,0,0,0,0,0,0,0,0.7242797858904192,13.49055158859042,Aadhar,0
93,49,2.0,1169880,1886280,0,0,0,0,0,0,1,1,0,0,0.6202048476366181,13.972412592199477,VoterID,1
94,37,1.0,333948,902400,4,3,0,0,0,0,1,0,0,0,0.3700664893617021,12.71874356568905,Aadhar,1
95,37,2.0,508728,1197960,2,2,0,0,0,0,0,1,0,0,0.42466192527296404,13.13967073724572,Aadhar,0
96,46,2.0,865476,1044000,0,0,0,0,0,0,0,0,0,0,0.829,13.671036079010753,Aadhar,0
97,45,2.0,640716,924156,0,0,0,0,0,0,0,0,0,0,0.693298534013738,13.370343140754114,Aadhar,1
98,46,2.0,633636,1076676,2,0,0,0,0,0,0,0,0,0,0.5885113070227255,13.359231514241992,Aadhar,0
99,47,2.0,749124,915960,3,2,0,0,0,0,0,0,0,0,0.8178566749639722,13.526661137760486,Aadhar,0
100,49,2.0,619836,808872,16,8,0,0,0,0,0,0,1,1,0.766296768833635,13.337211819230356,Aadhar,0
101,40,2.0,571740,877980,6,3,0,0,0,0,0,0,0,0,0.6511993439486093,13.256441370615528,VoterID,1
102,30,2.0,767364,889224,0,0,0,0,0,0,0,0,0,0,0.8629591643950231,13.550717847206542,Aadhar,0
103,38,,630636,816012,12,3,0,0,0,0,0,0,1,0,0.7728268701930854,13.354485698650294,Aadhar,1
104,33,1.0,1157880,1885104,0,0,0,0,0,0,1,1,0,0,0.6142260586153336,13.962102168449412,Driving,1
105,44,1.0,496428,805380,0,0,0,0,0,0,0,0,0,0,0.6163897787379871,13.115195751234696,Aadhar,1
106,32,2.0,867732,1238700,0,0,0,0,0,0,0,1,0,0,0.7005182852991039,13.673639342636132,PAN,1
107,46,2.0,672108,874128,3,3,0,0,0,0,0,0,0,0,0.7688896820602932,13.418175808732855,Aadhar,1
108,31,2.0,700956,906000,6,2,0,0,0,0,0,0,0,0,0.7736821192052981,13.460201823193783,Aadhar,1
109,26,1.0,567564,835824,0,0,0,0,0,0,0,0,0,0,0.6790472635387355,13.249110559223716,VoterID,0
110,28,2.0,622536,807840,0,0,0,0,0,0,0,0,0,0,0.770617944147356,13.34155834330565,Aadhar,0
111,33,2.0,803628,1255164,0,0,0,0,0,0,0,1,0,0,0.6402573687581862,13.596892998877548,Aadhar,0
112,31,1.0,657108,798000,3,0,0,0,0,0,0,0,0,0,0.8234436090225564,13.395605189337589,Aadhar,0
113,42,2.0,518520,759024,0,0,0,0,0,0,0,0,0,0,0.6831404540567887,13.158735807278038,Aadhar,0
114,35,2.0,682668,841272,2,2,0,0,0,0,0,0,0,0,0.8114712007531453,13.433765394436335,Aadhar,1
115,43,2.0,818676,1482072,11,5,0,0,0,0,0,1,1,0,0.5523861188930093,13.615444901651239,Aadhar,1
116,36,2.0,348348,547284,2,2,0,0,0,0,0,1,0,0,0.636503168373276,12.7609601297781,Aadhar,1
117,40,2.0,778584,963816,2,2,0,0,0,0,0,0,0,0,0.8078139395901293,13.565233448624852,Aadhar,1
118,32,1.0,690708,807000,0,0,0,0,0,0,0,0,0,0,0.8558959107806692,13.445473885251328,Aadhar,1
119,45,2.0,290748,758352,10,4,0,0,0,0,1,0,1,0,0.3833945186404203,12.580215630994084,VoterID,1
120,47,2.0,716556,835848,0,0,0,0,0,0,0,0,0,0,0.8572802710540672,13.48221307647067,Aadhar,0
121,43,2.0,737364,843396,0,0,0,0,0,0,0,0,0,0,0.8742796977932075,13.510838299592804,Aadhar,0
122,41,2.0,413268,549900,0,0,0,0,0,0,0,1,0,0,0.7515330060010911,12.931853991637855,VoterID,0
123,36,2.0,930948,1344000,11,0,0,0,0,0,0,1,1,0,0.6926696428571428,13.743959774952076,Aadhar,0
124,46,2.0,767364,919440,3,2,0,0,0,0,0,0,0,0,0.8345993213260245,13.550717847206542,Aadhar,1
125,37,2.0,639636,749184,0,0,0,0,0,0,0,0,0,0,0.8537769092772937,13.368656106924178,Aadhar,0
126,31,1.0,755364,976272,0,0,0,0,0,0,0,0,0,0,0.7737228968975859,13.53495635511851,Aadhar,1
127,46,2.0,642936,837600,6,2,0,0,0,0,0,0,0,0,0.7675931232091691,13.373802020192516,VoterID,1
128,28,1.0,745764,936000,2,2,0,0,0,0,0,0,0,0,0.7967564102564103,13.522165816153928,Aadhar,0
129,31,2.0,566988,733044,26,3,0,0,0,0,0,0,1,0,0.7734706238643246,13.248095182168965,Aadhar,0
130,47,1.0,770028,880068,0,0,0,0,0,0,0,0,0,0,0.8749642073112532,13.55418345545832,VoterID,1
131,26,2.0,690108,903744,0,0,0,0,0,0,0,0,0,0,0.7636100488633949,13.444604835111829,PAN,1
132,24,1.0,654756,819996,0,0,0,0,0,0,0,0,0,0,0.798486821886936,13.392019453416284,Aadhar,1
133,38,2.0,612936,935160,2,2,0,0,0,0,0,0,0,0,0.6554343641729757,13.326017436390487,Aadhar,1
134,50,2.0,755364,1155420,0,0,0,0,0,0,0,0,0,0,0.6537570753492237,13.53495635511851,Aadhar,0
135,39,2.0,716556,826956,14,4,0,0,0,0,0,0,1,0,0.8664983384847561,13.48221307647067,Aadhar,0
136,36,2.0,559980,884016,3,2,0,0,0,0,0,0,0,0,0.6334500733018407,13.235658133564316,Aadhar,0
137,45,1.0,612936,795336,4,4,0,0,0,0,0,0,0,0,0.770662965086454,13.326017436390487,Aadhar,1
138,40,2.0,712956,1550004,8,6,0,0,0,0,0,1,1,1,0.4599704258827719,13.4771763890224,Aadhar,1
139,50,2.0,672156,864000,11,7,0,0,0,0,0,0,1,1,0.7779583333333333,13.418247223170207,Aadhar,1
140,28,1.0,686556,932484,0,0,0,0,0,0,0,0,0,0,0.7362657160873538,13.439444530604991,Aadhar,1
141,29,1.0,1413804,2126844,20,4,0,0,0,0,1,1,1,0,0.6647426891676117,14.161795209280852,Aadhar,0
142,32,2.0,655908,791376,11,3,1,0,0,0,0,0,1,0,0.8288196761084491,13.39377733879159,Aadhar,0
143,32,2.0,494520,740280,0,0,0,0,0,0,0,0,0,0,0.6680175068892852,13.111344896281723,Aadhar,0
144,45,2.0,817092,1104960,0,0,0,0,0,0,0,0,0,0,0.739476542137272,13.613508198453225,Aadhar,0
145,34,1.0,711108,909300,6,4,0,0,0,0,0,0,0,0,0.7820389310458594,13.474581002239274,Aadhar,0
146,41,1.0,767364,928164,16,9,0,0,0,0,0,0,1,1,0.8267547545476877,13.550717847206542,Aadhar,0
147,26,1.0,613236,813720,0,0,0,0,0,0,0,0,0,0,0.7536204099690311,13.326506763363634,Aadhar,0
148,26,1.0,897012,1229892,0,0,0,0,0,0,0,1,0,0,0.7293420885736308,13.706825633689537,Aadhar,1
149,29,2.0,429540,848280,0,0,0,0,0,0,0,0,0,0,0.5063658226057434,12.970472475687467,Aadhar,0
150,34,2.0,436788,745800,0,0,0,0,0,0,0,0,0,0,0.5856637168141593,12.98720551994555,Aadhar,0
151,32,1.0,882120,1321464,0,0,0,0,0,0,0,1,0,0,0.6675323731861027,13.690084513788104,Aadhar,0
152,43,1.0,651108,800964,0,0,0,0,0,0,0,0,0,0,0.8129054489340345,13.3864323418909,Aadhar,0
153,36,2.0,615636,825492,36,4,0,0,0,0,0,0,1,0,0.7457806980564318,13.330412783104304,Aadhar,0
154,48,2.0,591636,775200,0,0,0,0,0,0,0,0,0,0,0.7632043343653251,13.290648550121379,Aadhar,0
155,49,2.0,574188,776232,20,9,0,0,0,0,0,0,1,1,0.7397118387286276,13.26071388939748,Aadhar,1
156,49,2.0,767364,867600,3,0,0,0,0,0,0,0,0,0,0.8844674965421854,13.550717847206542,Aadhar,1
157,48,2.0,703356,829668,4,2,0,0,0,0,0,0,0,0,0.8477559698578226,13.463619865507114,Aadhar,0
158,29,2.0,345372,919896,0,0,0,0,0,0,0,0,0,0,0.3754467896370894,12.752380271401858,Aadhar,0
159,36,2.0,889464,1203708,0,0,0,0,0,0,0,1,0,0,0.7389366856413682,13.698375437365591,Aadhar,0
160,28,2.0,807228,1245888,7,4,0,0,0,0,0,1,0,0,0.64791377716135,13.601362674036249,Aadhar,0
161,48,1.0,560988,780036,0,0,0,0,0,0,0,0,0,0,0.7191821915911574,13.23745657646946,Aadhar,1
162,23,,1085316,1517592,2,2,0,0,0,0,1,1,0,0,0.7151566428921607,13.89738266818317,Aadhar,0
163,31,1.0,528588,791160,0,0,0,0,0,0,0,0,0,0,0.6681177005915365,13.177966471249839,Aadhar,0
164,34,1.0,502128,774300,2,0,0,0,0,0,0,0,0,0,0.6484928322355676,13.126612337773743,Aadhar,0
165,28,1.0,565188,1080600,0,0,0,0,0,0,0,0,0,0,0.5230316490838424,13.244915467465823,Aadhar,1
166,34,1.0,1058640,1350000,2,2,0,0,0,0,1,1,0,0,0.7841777777777778,13.872496568054661,Aadhar,0
167,44,1.0,639348,791820,0,0,0,0,0,0,0,0,0,0,0.8074410850950974,13.368205750149563,Aadhar,0
168,31,2.0,496728,844800,0,0,0,0,0,0,0,0,0,0,0.5879829545454546,13.115799884734349,Aadhar,0
169,29,2.0,722556,875520,0,0,0,0,0,0,0,0,0,0,0.8252878289473684,13.49055158859042,Aadhar,0
170,38,2.0,486120,715620,0,0,0,0,0,0,0,0,0,0,0.6792990693384757,13.094212843087861,Aadhar,0
171,29,2.0,1051440,1717740,0,0,0,0,0,0,1,1,0,0,0.612106605190541,13.865672162232055,Aadhar,1
172,28,2.0,580188,805404,2,2,0,0,0,0,0,0,0,0,0.7203689080262825,13.271109191510055,Aadhar,0
173,29,1.0,583188,758904,0,0,0,0,0,0,0,0,0,0,0.768460832990734,13.276266598044659,Aadhar,0
174,41,1.0,568188,730284,10,7,0,0,0,0,0,0,1,1,0.7780370376456283,13.25020938883433,Aadhar,1
175,47,2.0,623736,745656,0,0,0,0,0,0,0,0,0,0,0.836492967266407,13.343484084147308,Aadhar,1
176,30,1.0,608436,812040,0,0,0,0,0,0,0,0,0,0,0.7492685089404463,13.318648652771225,Aadhar,0
177,47,2.0,691908,793056,0,0,0,0,0,0,0,0,0,0,0.8724579348747125,13.44720972306237,VoterID,0
178,29,2.0,626436,885084,0,0,0,0,0,0,0,0,0,0,0.7077701099556652,13.347803489602681,Aadhar,0
179,43,2.0,593736,819000,0,0,0,0,0,0,0,0,0,0,0.7249523809523809,13.294191739354453,Aadhar,0
180,24,,776736,1160748,0,0,0,0,0,0,0,0,0,0,0.6691685016902894,13.562857090713566,Aadhar,1
181,48,1.0,550140,763836,0,0,0,0,0,0,0,0,0,0,0.720233139050791,13.217929887989476,Aadhar,0
182,50,1.0,461688,809964,0,0,0,0,0,0,0,0,0,0,0.5700105189860291,13.042646783216675,Aadhar,0
183,26,2.0,722556,891240,2,0,0,0,0,0,0,0,0,0,0.8107311161976571,13.49055158859042,Aadhar,0
184,33,2.0,707364,827640,2,0,0,0,0,0,0,0,0,0,0.8546759460635058,13.46930207757162,Aadhar,0
185,39,2.0,586188,1526904,3,3,0,0,0,0,0,1,0,0,0.3839062573678502,13.281397542156219,Aadhar,0
186,27,1.0,705108,1005684,2,2,0,0,0,0,0,0,0,0,0.7011228179030391,13.4661076797726,Aadhar,0
187,36,2.0,687756,909024,2,2,0,0,0,0,0,0,0,0,0.756587284824163,13.441190856852073,Aadhar,1
188,32,2.0,853476,1212000,0,0,0,0,0,0,0,1,0,0,0.7041881188118811,13.657073872991786,VoterID,1
189,40,1.0,642132,891024,2,2,0,0,0,0,0,0,0,0,0.7206674567688413,13.372550726325404,Aadhar,0
190,44,2.0,629736,827268,19,11,0,0,0,0,0,0,1,1,0.7612236905090007,13.353057550889439,Aadhar,1
191,33,2.0,684708,858840,0,0,0,0,0,0,0,0,0,0,0.7972474500489032,13.436749209465589,Aadhar,0
192,27,1.0,767364,933624,3,3,0,0,0,0,0,0,0,0,0.8219197449937019,13.550717847206542,Aadhar,1
193,44,1.0,824364,993600,64,3,0,0,0,0,0,0,1,0,0.8296739130434783,13.622368671978323,Aadhar,1
194,33,2.0,873804,1217856,3,3,0,0,0,0,0,1,0,0,0.7174936938357244,13.680612517616312,VoterID,1
195,32,1.0,603636,853236,3,2,0,0,0,0,0,0,0,0,0.7074666329128166,13.310728302870558,Aadhar,0
196,29,1.0,649476,832236,0,0,0,0,0,0,0,0,0,0,0.780398829178262,13.383922702610503,Aadhar,1
197,45,2.0,544008,794064,0,0,0,0,0,0,0,0,0,0,0.685093392975881,13.206721069818874,Aadhar,0
198,33,2.0,615636,793788,0,0,0,0,0,0,0,0,0,0,0.7755672799286459,13.330412783104304,Aadhar,1
199,46,2.0,698472,856464,2,2,0,0,0,0,0,0,0,0,0.815529899680547,13.456651802672932,Aadhar,0
200,31,1.0,725364,899436,2,0,0,0,0,0,0,0,0,0,0.8064653849745841,13.49443025542511,Aadhar,0
201,37,1.0,757356,863112,8,6,0,0,0,0,0,0,1,1,0.8774712899368796,13.537590019666798,Aadhar,0
202,35,2.0,556188,832800,0,0,0,0,0,0,0,0,0,0,0.6678530259365995,13.228863443527821,Aadhar,1
203,44,2.0,515928,1233024,4,2,0,0,0,0,0,1,0,0,0.41842494549984427,13.153724438097154,Aadhar,0
204,41,2.0,633336,869580,3,2,0,0,0,0,0,0,0,0,0.7283240184916856,13.358757944925484,Aadhar,1
205,47,1.0,859476,1146000,0,0,0,0,0,0,0,0,0,0,0.7499790575916231,13.664079343702955,Aadhar,0
206,25,1.0,624636,709752,0,0,0,0,0,0,0,0,0,0,0.8800764210597505,13.344925959988883,Aadhar,1
207,41,2.0,630096,790860,2,2,0,0,0,0,0,0,0,0,0.796722555193081,13.353629054769788,Aadhar,0
208,35,1.0,657108,861468,0,0,0,0,0,0,0,0,0,0,0.7627770271211467,13.395605189337589,Aadhar,1
209,33,1.0,731364,900312,0,0,0,0,0,0,0,0,0,0,0.8123450537147122,13.502667930120632,Aadhar,0
210,47,2.0,639636,801576,0,0,0,0,0,0,0,0,0,0,0.7979729932033893,13.368656106924178,Aadhar,0
211,34,2.0,669996,835344,0,0,0,0,0,0,0,0,0,0,0.8020599896569557,13.415028513745185,Aadhar,1
212,33,2.0,746556,854400,6,2,0,0,0,0,0,0,0,0,0.8737780898876405,13.523227249375925,VoterID,0
213,37,2.0,633636,821532,3,2,0,0,0,0,0,0,0,0,0.7712858415740349,13.359231514241992,Aadhar,0
214,34,1.0,754164,1053600,2,2,0,0,0,0,0,0,0,0,0.7157972665148064,13.533366455940914,Aadhar,0
215,46,1.0,800028,863424,11,5,0,0,0,0,0,0,1,0,0.926576050700467,13.592403255993048,Aadhar,0
216,35,2.0,491028,789600,2,2,0,0,0,0,0,0,0,0,0.6218693009118541,13.104258468168956,Aadhar,0
217,44,2.0,608196,819564,55,27,0,0,0,0,0,0,1,1,0.7420970174385405,13.318254121625271,Aadhar,0
218,36,1.0,637668,815628,10,3,0,0,0,0,0,0,1,0,0.7818122967823566,13.365574618921658,Aadhar,1
219,25,1.0,675108,770376,0,0,0,0,0,0,0,0,0,0,0.8763357113928782,13.422629438299417,Aadhar,0
220,37,2.0,428100,546228,4,2,0,0,0,0,0,1,0,0,0.7837386585821305,12.967114428033137,Aadhar,0
221,49,2.0,395808,746256,0,0,0,0,0,0,0,0,0,0,0.530391715443494,12.888687050649029,Aadhar,1
222,35,1.0,596436,751524,2,0,0,0,0,0,0,0,0,0,0.7936353330033372,13.298728898848454,Aadhar,0
223,30,1.0,772584,842616,3,3,0,0,0,0,0,0,0,0,0.916887407787177,13.557497314063381,Aadhar,1
224,28,2.0,694308,907152,0,0,0,0,0,0,0,0,0,0,0.7653711836605112,13.45067238535359,Aadhar,1
225,33,2.0,855804,1274928,2,2,0,0,0,0,0,1,0,0,0.6712567297918,13.659797825434348,Aadhar,0
226,26,2.0,674556,894216,0,0,0,0,0,0,0,0,0,0,0.7543546525671649,13.421811458101683,Aadhar,1
227,43,2.0,639636,946296,0,0,0,0,0,0,0,0,0,0,0.6759364934439118,13.368656106924178,Aadhar,0
228,38,2.0,627636,785844,3,0,0,0,0,0,0,0,0,0,0.7986776001343778,13.3497172528515,Aadhar,1
229,23,,572628,990240,0,0,0,0,0,0,0,0,0,0,0.5782719340765875,13.257993316539018,Aadhar,0
230,29,2.0,675108,812916,0,0,0,0,0,0,0,0,0,0,0.8304769496479341,13.422629438299417,VoterID,0
231,34,1.0,578988,799920,0,0,0,0,0,0,0,0,0,0,0.7238073807380738,13.269038758101779,Aadhar,1
232,25,2.0,660156,909024,3,3,0,0,0,0,0,0,0,0,0.7262250501636921,13.400232964501814,VoterID,1
